RECORD_ID,TARGET_MSISDN,CALL_TYPE,A_PARTY,B_PARTY,CALL_DATE,CALL_TIME,DURATION_SEC,FIRST_CGI,LAST_CGI,FIRST_CELL_ADDRESS,LAST_CELL_ADDRESS,LATITUDE,LONGITUDE,IMEI,IMSI,SERVICE_TYPE,CIRCLE,ROAMING,RECORD_SOURCE,CLASSIFICATION
9840099887-0001,+919840099887,OUT,+919840099887,+919003471182,10/08/2025,08:52:11,47,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0002,+919840099887,IN,+919789334105,+919840099887,10/08/2025,11:15:09,205,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0003,+919840099887,OUT,+919840099887,18002094455,10/08/2025,19:30:44,19,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0004,+919840099887,IN,+919840099887,+917299018866,11/08/2025,10:43:39,92,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0005,+919840099887,OUT,+919840099887,+917299018866,11/08/2025,16:04:58,71,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0006,+919840099887,OUT,+918939220417,+918939220417,11/08/2025,20:53:18,134,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0007,+919840099887,IN,+919840012345,+919840099887,12/08/2025,10:15:00,96,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0008,+919840099887,SMS-IN,+919841200377,+919840099887,12/08/2025,12:41:18,0,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0009,+919840099887,OUT,+919840099887,+918939220417,12/08/2025,18:09:02,74,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0010,+919840099887,SMS-OUT,+919840099887,+919841200377,13/08/2025,12:17:22,0,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0011,+919840099887,IN,+918939220417,+919840099887,13/08/2025,18:30:23,196,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0012,+919840099887,IN,+919003471182,+919840099887,14/08/2025,14:16:52,302,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0013,+919840099887,SMS-OUT,+919840099887,+919841200377,14/08/2025,15:35:13,0,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840099887-0014,+919840099887,IN,+917299018866,+919840099887,14/08/2025,20:04:59,76,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,359881034512906,404859987654321,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
